0.05
2
Time,N001,I1,R1,
0.000346,-42.7081,6.11766,-2.1354,
0.000347,-42.3533,6.09976,-2.11766,
0.000348,-41.9952,6.0817,-2.09976,
0.000349,-41.6339,6.06347,-2.0817,
0.00035,-41.2694,6.04508,-2.06347,
0.000351,-40.9017,6.02654,-2.04508,
0.000352,-40.5308,6.00783,-2.02654,
0.000353,-40.1567,5.98897,-2.00783,
0.000354,-39.7794,5.96995,-1.98897,
0.000355,-39.399,5.95078,-1.96995,
0.000356,-39.0155,5.93144,-1.95078,
0.000357,-38.6288,5.91195,-1.93144,
0.000358,-38.2391,5.89231,-1.91195,
0.000359,-37.8462,5.87252,-1.89231,
0.00036,-37.4503,5.85257,-1.87252,
0.000361,-37.0513,5.83247,-1.85257,
0.000362,-36.6493,5.81221,-1.83247,
0.000363,-36.2443,5.79181,-1.81221,
0.000364,-35.8362,5.77126,-1.79181,
0.000365,-35.4251,5.75056,-1.77126,
0.000366,-35.0111,5.72971,-1.75056,
0.000367,-34.5941,5.70871,-1.72971,
0.000368,-34.1742,5.68757,-1.70871,
0.000369,-33.7513,5.66628,-1.68757,
0.00037,-33.3255,5.64484,-1.66628,
0.000371,-32.8969,5.62327,-1.64484,
0.000372,-32.4653,5.60155,-1.62327,
0.000373,-32.0309,5.57968,-1.60155,
0.000374,-31.5936,5.55768,-1.57968,
0.000375,-31.1536,5.53553,-1.55768,
0.000376,-30.7107,5.51325,-1.53553,
0.000377,-30.265,5.49083,-1.51325,
0.000378,-29.8165,5.46827,-1.49083,
0.000379,-29.3653,5.44557,-1.46827,
0.00038,-28.9114,5.42274,-1.44557,
0.000381,-28.4547,5.39977,-1.42274,
0.000382,-27.9953,5.37666,-1.39977,
0.000383,-27.5333,5.35343,-1.37666,
0.000384,-27.0686,5.33006,-1.35343,
0.000385,-26.6012,5.30656,-1.33006,
0.000386,-26.1312,5.28293,-1.30656,
0.000387,-25.6586,5.25917,-1.28293,
0.000388,-25.1834,5.23528,-1.25917,
0.000389,-24.7056,5.21126,-1.23528,
0.00039,-24.2253,5.18712,-1.21126,
0.000391,-23.7424,5.16285,-1.18712,
0.000392,-23.257,5.13846,-1.16285,
0.000393,-22.7691,5.11394,-1.13846,
0.000394,-22.2788,5.0893,-1.11394,
0.000395,-21.786,5.06454,-1.0893,
0.000396,-21.2907,5.03965,-1.06454,
0.000397,-20.793,5.01465,-1.03965,
0.000398,-20.293,4.98952,-1.01465,
0.000399,-19.7905,4.96428,-0.989525,
0.0004,-19.2857,4.93893,-0.964284,
0.000401,-18.7785,4.91345,-0.938926,
0.000402,-18.269,4.88786,-0.913452,
0.000403,-17.7573,4.86216,-0.887864,
0.000404,-17.2432,4.83634,-0.862161,
0.000405,-16.7269,4.81042,-0.836345,
0.000406,-16.2083,4.78438,-0.810417,
0.000407,-15.6876,4.75823,-0.784378,
0.000408,-15.1646,4.73197,-0.758229,
0.000409,-14.6394,4.70561,-0.731972,
0.00041,-14.1121,4.67913,-0.705606,
0.000411,-13.5827,4.65256,-0.679134,
0.000412,-13.0511,4.62587,-0.652556,
0.000413,-12.5175,4.59909,-0.625873,
0.000414,-11.9817,4.5722,-0.599087,
0.000415,-11.444,4.54521,-0.572198,
0.000416,-10.9041,4.51812,-0.545207,
0.000417,-10.3623,4.49093,-0.518116,
0.000418,-9.81851,4.46364,-0.490926,
0.000419,-9.27273,4.43625,-0.463637,
0.00042,-8.72501,4.40877,-0.436251,
0.000421,-8.17537,4.38119,-0.408768,
0.000422,-7.62382,4.35352,-0.381191,
0.000423,-7.07039,4.32576,-0.35352,
0.000424,-6.51511,4.2979,-0.325755,
0.000425,-5.95799,4.26995,-0.297899,
0.000426,-5.39905,4.24192,-0.269952,
0.000427,-4.83832,4.21379,-0.241916,
0.000428,-4.27582,4.18558,-0.213791,
0.000429,-3.71158,4.15728,-0.185579,
0.00043,-3.1456,4.1289,-0.15728,
0.000431,-2.57793,4.10043,-0.128896,
0.000432,-2.00857,4.07188,-0.100429,
0.000433,-1.43756,4.04325,-0.0718779,
0.000434,-0.864907,4.01453,-0.0432454,
0.000435,-0.290644,3.98574,-0.0145322,
0.000436,0.285211,3.95687,0.0142605,
0.000437,0.862633,3.92792,0.0431317,
0.000438,1.4416,3.8989,0.07208,
0.000439,2.02209,3.8698,0.101105,
0.00044,2.60408,3.84062,0.130204,
0.000441,3.18754,3.81138,0.159377,
0.000442,3.77246,3.78206,0.188623,
0.000443,4.35881,3.75267,0.217941,
0.000444,4.94657,3.72321,0.247328,
0.000445,5.53571,3.69369,0.276785,
0.000446,6.12621,3.6641,0.30631,
0.000447,6.71805,3.63444,0.335902,
0.000448,7.3112,3.60472,0.36556,
0.000449,7.90564,3.57493,0.395282,
0.00045,8.50135,3.54508,0.425067,
0.000451,9.0983,3.51518,0.454915,
0.000452,9.69647,3.48521,0.484824,
0.000453,10.2958,3.45518,0.514792,
0.000454,10.8964,3.4251,0.544819,
0.000455,11.4981,3.39496,0.574904,
0.000456,12.1009,3.36476,0.605044,
0.000457,12.7048,3.33451,0.63524,
0.000458,13.3098,3.30421,0.66549,
0.000459,13.9158,3.27385,0.695792,
0.00046,14.5229,3.24345,0.726146,
0.000461,15.131,3.213,0.756551,
0.000462,15.7401,3.18249,0.787004,
0.000463,16.3501,3.15195,0.817505,
0.000464,16.9611,3.12135,0.848053,
0.000465,17.5729,3.09072,0.878646,
0.000466,18.1857,3.06004,0.909284,
0.000467,18.7993,3.02931,0.939964,
0.000468,19.4137,2.99855,0.970687,
0.000469,20.029,2.96775,1.00145,
0.00047,20.6451,2.93691,1.03225,
0.000471,21.2619,2.90603,1.06309,
0.000472,21.8794,2.87512,1.09397,
0.000473,22.4977,2.84417,1.12488,
0.000474,23.1167,2.81319,1.15583,
0.000475,23.7363,2.78217,1.18681,
0.000476,24.3566,2.75113,1.21783,
0.000477,24.9774,2.72005,1.24887,
0.000478,25.5989,2.68895,1.27995,
0.000479,26.221,2.65782,1.31105,
0.00048,26.8436,2.62667,1.34218,
0.000481,27.4667,2.59549,1.37333,
0.000482,28.0903,2.56428,1.40451,
0.000483,28.7144,2.53306,1.43572,
0.000484,29.3389,2.50181,1.46694,
0.000485,29.9638,2.47054,1.49819,
0.000486,30.5892,2.43926,1.52946,
0.000487,31.2149,2.40795,1.56074,
0.000488,31.8409,2.37663,1.59205,
0.000489,32.4673,2.3453,1.62337,
0.00049,33.094,2.31395,1.6547,
0.000491,33.7209,2.28259,1.68605,
0.000492,34.3481,2.25122,1.71741,
0.000493,34.9756,2.21984,1.74878,
0.000494,35.6032,2.18845,1.78016,
0.000495,36.231,2.15705,1.81155,
0.000496,36.8589,2.12565,1.84295,
0.000497,37.487,2.09424,1.87435,
0.000498,38.1152,2.06283,1.90576,
0.000499,38.7434,2.03142,1.93717,
0.0005,39.3717,2,1.96858,
0.000501,40,1.96858,2,
0.000502,40.6283,1.93717,2.03142,
0.000503,41.2566,1.90576,2.06283,
0.000504,41.8848,1.87435,2.09424,
0.000505,42.513,1.84295,2.12565,
0.000506,43.1411,1.81155,2.15705,
0.000507,43.769,1.78016,2.18845,
0.000508,44.3968,1.74878,2.21984,
0.000509,45.0244,1.71741,2.25122,
0.00051,45.6519,1.68605,2.28259,
0.000511,46.2791,1.6547,2.31395,
0.000512,46.906,1.62337,2.3453,
0.000513,47.5327,1.59205,2.37663,
0.000514,48.1591,1.56074,2.40795,
0.000515,48.7851,1.52946,2.43926,
0.000516,49.4108,1.49819,2.47054,
0.000517,50.0362,1.46694,2.50181,
0.000518,50.6611,1.43572,2.53306,
0.000519,51.2856,1.40451,2.56428,
0.00052,51.9097,1.37333,2.59549,
0.000521,52.5333,1.34218,2.62667,
0.000522,53.1564,1.31105,2.65782,
0.000523,53.779,1.27995,2.68895,
0.000524,54.4011,1.24887,2.72005,
0.000525,55.0226,1.21783,2.75113,
0.000526,55.6434,1.18681,2.78217,
0.000527,56.2637,1.15583,2.81319,
0.000528,56.8833,1.12488,2.84417,
0.000529,57.5023,1.09397,2.87512,
0.00053,58.1206,1.06309,2.90603,
0.000531,58.7381,1.03225,2.93691,
0.000532,59.3549,1.00145,2.96775,
0.000533,59.971,0.970687,2.99855,
0.000534,60.5863,0.939964,3.02931,
0.000535,61.2007,0.909284,3.06004,
0.000536,61.8143,0.878646,3.09072,
0.000537,62.4271,0.848053,3.12135,
0.000538,63.0389,0.817505,3.15195,
0.000539,63.6499,0.787004,3.18249,
0.00054,64.2599,0.756551,3.213,
0.000541,64.869,0.726146,3.24345,
0.000542,65.4771,0.695792,3.27385,
0.000543,66.0842,0.66549,3.30421,
0.000544,66.6902,0.63524,3.33451,
0.000545,67.2952,0.605044,3.36476,
0.000546,67.8991,0.574904,3.39496,
0.000547,68.5019,0.544819,3.4251,
0.000548,69.1036,0.514792,3.45518,
0.000549,69.7042,0.484824,3.48521,
0.00055,70.3035,0.454915,3.51518,
0.000551,70.9017,0.425067,3.54508,
0.000552,71.4987,0.395282,3.57493,
0.000553,72.0944,0.36556,3.60472,
0.000554,72.6888,0.335902,3.63444,
0.000555,73.282,0.30631,3.6641,
0.000556,73.8738,0.276785,3.69369,
0.000557,74.4643,0.247328,3.72321,
0.000558,75.0534,0.217941,3.75267,
0.000559,75.6412,0.188623,3.78206,
0.00056,76.2275,0.159377,3.81138,
0.000561,76.8125,0.130204,3.84062,
0.000562,77.3959,0.101105,3.8698,
0.000563,77.9779,0.07208,3.8989,
0.000564,78.5584,0.0431317,3.92792,
0.000565,79.1374,0.0142605,3.95687,
0.000566,79.7148,-0.0145322,3.98574,
0.000567,80.2906,-0.0432454,4.01453,
0.000568,80.8649,-0.0718779,4.04325,
0.000569,81.4376,-0.100429,4.07188,
0.00057,82.0086,-0.128896,4.10043,
0.000571,82.5779,-0.15728,4.1289,
0.000572,83.1456,-0.185579,4.15728,
0.000573,83.7116,-0.213791,4.18558,
0.000574,84.2758,-0.241916,4.21379,
0.000575,84.8383,-0.269952,4.24192,
0.000576,85.399,-0.297899,4.26995,
0.000577,85.958,-0.325755,4.2979,
0.000578,86.5151,-0.35352,4.32576,
0.000579,87.0704,-0.381191,4.35352,
0.00058,87.6238,-0.408768,4.38119,
0.000581,88.1754,-0.436251,4.40877,
0.000582,88.725,-0.463637,4.43625,
0.000583,89.2727,-0.490926,4.46364,
0.000584,89.8185,-0.518116,4.49093,
0.000585,90.3623,-0.545207,4.51812,
0.000586,90.9041,-0.572198,4.54521,
0.000587,91.444,-0.599087,4.5722,
0.000588,91.9817,-0.625873,4.59909,
0.000589,92.5175,-0.652556,4.62587,
0.00059,93.0511,-0.679134,4.65256,
0.000591,93.5827,-0.705606,4.67913,
0.000592,94.1121,-0.731972,4.70561,
0.000593,94.6394,-0.758229,4.73197,
0.000594,95.1646,-0.784378,4.75823,
0.000595,95.6876,-0.810417,4.78438,
0.000596,96.2083,-0.836345,4.81042,
0.000597,96.7269,-0.862161,4.83634,
0.000598,97.2432,-0.887864,4.86216,
0.000599,97.7573,-0.913452,4.88786,
0.0006,98.269,-0.938926,4.91345,
0.000601,98.7785,-0.964284,4.93893,
0.000602,99.2857,-0.989525,4.96428,
0.000603,99.7905,-1.01465,4.98952,
0.000604,100.293,-1.03965,5.01465,
0.000605,100.793,-1.06454,5.03965,
0.000606,101.291,-1.0893,5.06454,
0.000607,101.786,-1.11394,5.0893,
0.000608,102.279,-1.13846,5.11394,
0.000609,102.769,-1.16285,5.13846,
0.00061,103.257,-1.18712,5.16285,
0.000611,103.742,-1.21126,5.18712,
0.000612,104.225,-1.23528,5.21126,
0.000613,104.706,-1.25917,5.23528,
0.000614,105.183,-1.28293,5.25917,
0.000615,105.659,-1.30656,5.28293,
0.000616,106.131,-1.33006,5.30656,
0.000617,106.601,-1.35343,5.33006,
0.000618,107.069,-1.37666,5.35343,
0.000619,107.533,-1.39977,5.37666,
0.00062,107.995,-1.42274,5.39977,
