Detected Component: I1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:0 G31:0 G31:0 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:-0.001 G31:0 G31:0.001 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: V1
G11:0 G11:0 G11:0 G11:0 G21:0 G21:0 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R2
G11:0 G11:0 G11:0 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
G11:0 G11:0 G11:0 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R1
G11:0.001 G11:0 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: R2
G11:0.001001 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
G11:0.001001 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Detected Component: C1
G11:1 G11:-1e-06 G11:-0.001 G11:0 G21:-1e-06 G21:1e-06 G21:0 G21:0 G31:0 G31:0 G31:1 G31:0 G41:0 G41:0 G41:0 G41:0 
Time,N001,N002,N003,N004,C1,L1,R2,R1,V1,I1,
0.000133,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000134,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000135,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000136,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000137,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000138,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000139,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.00014,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000141,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000142,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000143,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000144,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000145,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000146,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000147,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000148,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000149,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.00015,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000151,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000152,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000153,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000154,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000155,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000156,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000157,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000158,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
0.000159,-nan,-nan,-nan,0,-nan,-nan,-nan,-nan,0,-0.1,
